instance,approach,exp_i,evaluations,objective
k5xb4,Integer Permutation SimpleGA - PMX,1,9223372036854775807,4.0
k5xb5,Integer Permutation SimpleGA - PMX,1,9223372036854775807,5.0
k5xb10,Integer Permutation SimpleGA - PMX,1,9223372036854775807,9.600000000000001
k6xb3,Integer Permutation SimpleGA - PMX,1,9223372036854775807,3.0
k6xb4,Integer Permutation SimpleGA - PMX,1,9223372036854775807,4.0
k6xb5,Integer Permutation SimpleGA - PMX,1,9223372036854775807,4.666666666666667
k7xb3,Integer Permutation SimpleGA - PMX,1,9223372036854775807,3.0
k7xb4,Integer Permutation SimpleGA - PMX,1,9223372036854775807,3.7142857142857144
k8xb3,Integer Permutation SimpleGA - PMX,1,9223372036854775807,2.75
k4xb3,Integer Permutation SimpleGA - OX,1,9223372036854775807,3.0
k4xb4,Integer Permutation SimpleGA - OX,1,9223372036854775807,4.0
k4xb5,Integer Permutation SimpleGA - OX,1,9223372036854775807,5.0
k4xb10,Integer Permutation SimpleGA - OX,1,9223372036854775807,10.0
k4xb20,Integer Permutation SimpleGA - OX,1,9223372036854775807,20.0
k5xb3,Integer Permutation SimpleGA - OX,1,9223372036854775807,3.0
k5xb4,Integer Permutation SimpleGA - OX,1,9223372036854775807,4.0
k5xb5,Integer Permutation SimpleGA - OX,1,9223372036854775807,5.0
k5xb10,Integer Permutation SimpleGA - OX,1,9223372036854775807,10.0
k5xb20,Integer Permutation SimpleGA - OX,1,9223372036854775807,17.400000000000002
k6xb3,Integer Permutation SimpleGA - OX,1,9223372036854775807,3.0
k6xb4,Integer Permutation SimpleGA - OX,1,9223372036854775807,4.0
k6xb5,Integer Permutation SimpleGA - OX,1,9223372036854775807,5.0
k6xb10,Integer Permutation SimpleGA - OX,1,9223372036854775807,9.0
k7xb3,Integer Permutation SimpleGA - OX,1,9223372036854775807,3.0
k7xb4,Integer Permutation SimpleGA - OX,1,9223372036854775807,4.0
k7xb5,Integer Permutation SimpleGA - OX,1,9223372036854775807,4.571428571428571
k8xb3,Integer Permutation SimpleGA - OX,1,9223372036854775807,2.875
k4xb3,Integer Permutation SimpleGA - CX,1,9223372036854775807,3.0
k4xb4,Integer Permutation SimpleGA - CX,1,9223372036854775807,4.0
k4xb5,Integer Permutation SimpleGA - CX,1,9223372036854775807,5.0
k4xb10,Integer Permutation SimpleGA - CX,1,9223372036854775807,10.0
k4xb20,Integer Permutation SimpleGA - CX,1,9223372036854775807,19.25
k5xb3,Integer Permutation SimpleGA - CX,1,9223372036854775807,3.0
k5xb4,Integer Permutation SimpleGA - CX,1,9223372036854775807,4.0
k5xb5,Integer Permutation SimpleGA - CX,1,9223372036854775807,5.0
k5xb10,Integer Permutation SimpleGA - CX,1,9223372036854775807,9.0
k6xb3,Integer Permutation SimpleGA - CX,1,9223372036854775807,3.0
k6xb4,Integer Permutation SimpleGA - CX,1,9223372036854775807,3.8333333333333335
k7xb3,Integer Permutation SimpleGA - CX,1,9223372036854775807,2.857142857142857
k4xb3,Integer Permutation SimpleGA - ER,1,9223372036854775807,3.0
k4xb4,Integer Permutation SimpleGA - ER,1,9223372036854775807,4.0
k4xb5,Integer Permutation SimpleGA - ER,1,9223372036854775807,4.75
k5xb3,Integer Permutation SimpleGA - ER,1,9223372036854775807,3.0
k5xb4,Integer Permutation SimpleGA - ER,1,9223372036854775807,3.6
k6xb3,Integer Permutation SimpleGA - ER,1,9223372036854775807,2.6666666666666665
